timestamp,latency_ms,packet_loss,throughput_mbps
0,29.75,0.0,3.3744
1,33.55,0.0,3.3056
2,32.8,0.0,3.4872
3,32.65,0.0,3.5398
4,30.85,0.0,3.3444
5,32.85,0.0,3.4304
6,31.65,0.0,3.5767
7,32.25,0.0,3.5703
8,32.45,0.0,3.6204
9,32.8,0.0,3.5763
10,32.7,0.0,3.734
11,32.75,0.0,3.7412
12,32.0,0.0,3.6955
13,32.55,0.0,3.7874
14,32.75,0.0,3.7374
15,31.5,0.0,3.6296
16,30.15,0.0,3.722
17,30.75,0.0,3.6057
18,32.6,0.0,3.7385
19,33.25,0.0,3.6461
20,32.85,0.0,3.6135
21,32.9,0.0,3.5486
22,31.1,0.0,3.6725
23,31.7,0.0,3.5312
24,33.1,0.0,3.4758
25,33.15,0.0,3.4464
26,33.25,0.0,3.4801
27,33.05,0.0,3.4286
28,32.5,0.0,3.3937
29,32.95,0.0,3.3563
30,32.65,0.0,3.4546
31,30.75,0.0,3.2131
32,32.85,0.0,3.1682
33,33.2,0.0,3.1095
34,33.35,0.0,3.1913
35,32.8,0.0,3.2024
36,29.85,0.0,3.076
37,33.1,0.0,2.9942
38,31.15,0.0,2.9753
39,32.5,0.0,3.0769
40,30.4,0.0,3.0719
41,30.45,0.0,3.0477
42,33.25,0.0,2.9471
43,32.05,0.0,3.0193
44,32.5,0.0,3.0148
45,31.85,0.0,3.0319
46,32.05,0.0,3.0972
47,30.2,0.0,3.0624
48,29.25,0.0,3.1196
49,32.8,0.0,3.0951
50,33.2,0.0,3.1403
51,32.9,0.0,3.1981
52,31.7,0.0,3.064
53,29.4,0.0,3.19
54,32.2,0.0,3.2146
55,30.4,0.0,3.239
56,32.9,0.0,3.3067
57,33.35,0.0,3.4871
58,33.2,0.0,3.3369
59,31.8,0.0,3.5216
60,31.0,0.0,3.3463
61,30.7,0.0,3.4893
62,32.6,0.0,3.5623
63,33.3,0.0,3.6268
64,32.85,0.0,3.6647
65,32.6,0.0,3.6959
66,29.8,0.0,3.6257
67,33.15,0.0,3.6341
68,33.35,0.0,3.7532
69,33.35,0.0,3.6786
70,30.35,0.0,3.5969
71,30.7,0.0,3.6091
72,29.6,0.0,3.6227
73,32.25,0.0,3.7283
74,33.15,0.0,3.6879
75,33.0,0.0,3.7158
76,32.6,0.0,3.6066
77,32.65,0.0,3.63
78,33.4,0.0,3.6407
79,32.75,0.0,3.5362
80,33.1,0.0,3.5653
81,30.55,0.0,3.4413
82,32.85,0.0,3.4289
83,32.6,0.0,3.3899
84,29.35,0.0,3.2863
85,30.15,0.0,3.3821
86,32.7,0.0,3.2668
87,32.9,0.0,3.2672
88,32.85,0.0,3.2675
89,32.55,0.0,3.2291
90,32.7,0.0,3.2128
91,33.15,0.0,3.1203
92,32.4,0.0,3.0657
93,33.35,0.0,3.0676
94,32.7,0.0,2.9168
95,33.0,0.0,2.9176
96,31.05,0.0,2.9129
97,31.75,0.0,2.9285
98,32.9,0.0,3.034
99,32.7,0.0,2.9276
100,31.95,0.0,2.9721
101,32.85,0.0,3.1129
102,33.1,0.0,2.9913
103,32.75,0.0,3.0937
104,32.5,0.0,2.9788
105,32.8,0.0,3.0595
106,33.05,0.0,3.0257
107,31.9,0.0,3.1035
108,32.9,0.0,3.2294
109,32.9,0.0,3.0579
