timestamp,latency_ms,packet_loss,throughput_mbps
0,67.7063,0.0,3.1412
1,66.8426,0.0,3.0926
2,67.7278,0.0,3.2791
3,67.4722,0.0,3.1643
4,67.2641,0.0,3.1996
5,67.3823,0.0,3.3279
6,67.8325,0.0,3.3775
7,67.5955,0.0,3.3814
8,67.5287,0.0,3.2369
9,67.8089,0.0,3.4376
10,67.7602,0.0,3.3309
11,67.3256,0.0,3.4478
12,67.9407,0.0,3.3263
13,67.6768,0.0,3.4829
14,67.8828,0.0,3.3854
15,67.3945,0.0,3.3458
16,67.3783,0.0,3.4996
17,67.574,0.0,3.4518
18,67.2619,0.0,3.3691
19,68.3372,0.0,3.5162
20,68.0971,0.0,3.3431
21,67.4987,0.0,3.3556
22,67.7691,0.0,3.3462
23,67.7395,0.0,3.244
24,67.9431,0.0,3.2977
25,67.6942,0.0,3.1819
26,68.0709,0.0,3.1546
27,68.0029,0.0,3.2584
28,67.9445,0.0,3.0274
29,68.0561,0.0,2.8788
30,67.8096,0.0,3.1622
31,67.1213,0.0,3.1996
32,67.7619,0.0,2.9268
33,67.1487,0.0,2.7696
34,67.2812,0.0,2.8672
35,67.8434,0.0,2.8392
36,67.7221,0.0,2.8199
37,67.7326,0.0,2.7223
38,67.6422,0.0,2.8376
39,68.2073,0.0,2.8168
40,67.4143,0.0,2.6429
41,68.1565,0.0,2.8102
42,67.5251,0.0,2.9146
43,67.9467,0.0,2.7645
44,67.8513,0.0,2.7285
45,68.4073,0.0,2.753
46,67.8973,0.0,2.8267
47,68.3839,0.0,2.6561
48,68.6045,0.0,2.8285
49,67.8709,0.0,2.8084
50,68.1829,0.0,3.015
51,67.7075,0.0,2.8837
52,67.4043,0.0,3.064
53,68.2082,0.0,2.8772
54,67.9536,0.0,3.0492
55,67.9307,0.0,3.0656
56,68.0425,0.0,3.0092
57,68.1133,0.0,3.1317
58,68.4404,0.0,3.2532
59,68.2094,0.0,3.1683
60,67.9216,0.0,3.0956
61,67.4536,0.0,3.2647
62,68.3002,0.0,3.2271
63,67.9743,0.0,3.3026
64,67.6272,0.0,3.3513
65,67.801,0.0,3.246
66,67.745,0.0,3.2744
67,67.3733,0.0,3.4596
68,67.498,0.0,3.3927
69,68.0358,0.0,3.2387
70,67.4617,0.0,3.5118
71,67.456,0.0,3.4716
72,67.7474,0.0,3.3892
73,67.4984,0.0,3.3331
74,67.543,0.0,3.4934
75,66.8387,0.0,3.4385
76,67.1399,0.0,3.5813
77,67.3544,0.0,3.401
78,67.2734,0.0,3.3717
79,68.3353,0.0,3.2976
80,67.2567,0.0,3.3441
81,67.302,0.0,3.2942
82,67.5266,0.0,3.3081
83,67.1053,0.0,3.1287
84,67.5178,0.0,3.0971
85,67.3378,0.0,3.0548
86,67.0857,0.0,3.1176
87,67.0443,0.0,3.136
88,67.4143,0.0,2.9423
89,67.5392,0.0,2.9093
90,66.9279,0.0,2.9347
91,67.0867,0.0,2.8585
92,67.843,0.0,2.9257
93,67.3885,0.0,2.6438
94,67.7559,0.0,2.7357
95,66.9255,0.0,2.7207
96,67.4868,0.0,2.5831
97,68.3019,0.0,2.6812
98,67.7469,0.0,2.6788
99,67.0261,0.0,2.7339
100,66.5894,0.0,2.8414
101,67.4226,0.0,2.7393
102,67.6556,0.0,2.6873
103,67.4345,0.0,2.7801
104,67.3976,0.0,2.8874
105,67.3139,0.0,2.7478
106,67.3988,0.0,2.7789
107,67.7578,0.0,2.9253
108,67.9653,0.0,2.8945
109,67.3888,0.0,2.9979
110,67.5354,0.0,2.9808
111,67.3807,0.0,3.0753
112,67.8108,0.0,2.9746
113,67.5642,0.0,3.0952
114,67.8129,0.0,3.1182
115,66.8652,0.0,3.0762
116,67.5988,0.0,3.0859
117,67.2004,0.0,3.3019
118,67.6837,0.0,3.2533
119,67.4918,0.0,3.2317
120,67.7698,0.0,3.3352
121,67.3084,0.0,3.4596
122,67.4844,0.0,3.21
123,67.6153,0.0,3.2922
124,68.0873,0.0,3.3538
125,67.9152,0.0,3.5562
126,67.6682,0.0,3.4693
127,68.3835,0.0,3.5113
128,68.1365,0.0,3.3575
129,67.3921,0.0,3.3537
130,68.2111,0.0,3.4694
131,67.6844,0.0,3.4245
132,67.6186,0.0,3.446
133,67.987,0.0,3.3656
134,67.5361,0.0,3.3779
135,68.1367,0.0,3.3403
136,67.3447,0.0,3.3589
137,67.9812,0.0,3.328
138,67.975,0.0,3.0985
139,67.6527,0.0,3.0114
140,67.6191,0.0,3.2333
141,67.6756,0.0,3.2095
142,67.8892,0.0,2.9939
143,67.0848,0.0,2.8882
144,67.7962,0.0,3.0072
145,67.6908,0.0,3.0372
146,67.3447,0.0,3.0716
147,67.9317,0.0,2.9364
148,67.2574,0.0,2.8352
149,67.7674,0.0,2.7662
150,68.0408,0.0,2.8145
151,67.9359,0.0,2.7691
152,67.5805,0.0,2.6951
153,67.9901,0.0,2.9274
154,67.7621,0.0,2.8977
155,67.4274,0.0,2.8414
156,67.7781,0.0,2.6769
157,67.8232,0.0,2.8232
158,67.7445,0.0,2.8145
159,67.58,0.0,2.8114
160,67.5995,0.0,2.8927
161,67.6415,0.0,2.864
162,68.1179,0.0,2.8964
163,67.2483,0.0,2.9154
164,67.9569,0.0,2.9218
165,67.5294,0.0,2.7846
166,67.7104,0.0,2.9687
167,67.9767,0.0,2.9541
168,68.0199,0.0,2.934
169,67.5216,0.0,3.2094
170,67.6935,0.0,3.2521
171,68.1689,0.0,3.2612
172,67.9445,0.0,3.2109
173,67.5354,0.0,3.3355
174,67.4083,0.0,3.2638
175,67.1871,0.0,3.3124
176,67.3048,0.0,3.2396
177,67.9176,0.0,3.387
178,67.8005,0.0,3.385
179,68.0566,0.0,3.2975
180,68.047,0.0,3.4154
181,68.4934,0.0,3.427
182,67.8091,0.0,3.587
183,67.6582,0.0,3.5202
184,68.1827,0.0,3.4508
185,67.4653,0.0,3.4667
186,67.9262,0.0,3.443
187,67.8089,0.0,3.4116
188,67.585,0.0,3.3257
189,67.452,0.0,3.3807
190,67.8198,0.0,3.3101
191,67.2412,0.0,3.2434
192,67.4839,0.0,3.3549
193,67.1151,0.0,3.3133
194,67.2302,0.0,3.1047
195,68.3751,0.0,3.2018
196,67.5895,0.0,3.2538
197,68.0177,0.0,3.2205
198,68.0861,0.0,3.179
199,67.714,0.0,3.0612
